# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	48101
#@/user_id	2e78a248-4bb3-4f88-87b4-60fa7da6ab99
a 	啊	c=4 d=1.03765e-17 t=48101
an niu 	按鈕	c=32 d=0.190952 t=48101
an pai 	安排	c=1 d=2.32538e-75 t=48101
an quan 	安全	c=8 d=0.818731 t=48101
an quan gan 	安全感	c=1 d=9.55742e-86 t=48101
an quan se 	安全色	c=1 d=2.65551e-78 t=48101
an shi 	暗示	c=2 d=1.88652e-48 t=48101
an ta 	安踏	c=1 d=4.42596e-88 t=48101
an yi dian 	安逸點	c=1 d=2.10559e-54 t=48101
an zhao 	按照	c=24 d=1.13648e-05 t=48101
an zhao bu zhou 	按照步驟	c=1 d=6.46583e-18 t=48101
an zhe 	按着	c=1 d=1.20835e-50 t=48101
an zhuang 	安裝	c=127 d=1.59554 t=48101
an zhuo 	安卓	c=36 d=0.181783 t=48101
an zong 	安總	c=5 d=5.29107e-66 t=48101
ang zang 	骯髒	c=3 d=6.13263e-57 t=48101
ao chu tou 	熬出頭	c=1 d=1 t=45054
ao shu 	奧術	c=1 d=4.31669e-88 t=48101
ao te lai si 	奧特萊斯	c=1 d=2.26341e-22 t=48101
app store 	App Store	c=1 d=1 t=47738
apple 	Apple	c=4 d=1.06514e-18 t=48101
apple 		c=22 d=0.469933 t=48101
apple id 	Apple ID	c=20 d=2.6991e-08 t=48101
apple music 	Apple Music	c=63 d=0.0859135 t=48101
ati 	ATI	c=0 d=4.33832e-89 t=48101
ba 	八	c=2 d=3.95912e-12 t=48101
ba 	吧	c=279 d=0.275964 t=48101
ba 	把	c=63 d=2.40333 t=48101
ba ba 	爸爸	c=2 d=3.49096e-68 t=48101
ba ba xie 	爸爸鞋	c=1 d=1.18624e-68 t=48101
ba dian ban 	八點半	c=1 d=6.68525e-87 t=48101
ba guan 	把關	c=1 d=9.66859e-75 t=48101
ba ma 	爸媽	c=2 d=6.84195e-36 t=48101
ba ni 	把你	c=3 d=5.24182e-49 t=48101
ba nian 	八年	c=1 d=1.96658e-74 t=48101
ba she 	跋涉	c=0 d=0.1 t=47324
ba wo 	把我	c=1 d=2.055e-62 t=48101
ba xi ren 	巴西人	c=1 d=1.51016e-26 t=48101
bai 	白	c=6 d=1.93007e-13 t=48101
bai bing qi lin 	白冰淇淋	c=1 d=3.59262e-75 t=48101
bai bo xie 	白波鞋	c=2 d=2.13602e-68 t=48101
bai de 	白的	c=1 d=1 t=45767
bai du 	百度	c=33 d=1.51278 t=48101
bai du di tu 	百度地圖	c=4 d=1.51273e-46 t=48101
bai du tie ba 	百度貼吧	c=1 d=1.50539e-77 t=48101
bai du wang pan 	百度網盤	c=1 d=3.66968e-60 t=48101
bai du wen ku 	百度文庫	c=2 d=7.92979e-66 t=48101
bai du xi 	百度系	c=1 d=7.05122e-67 t=48101
bai du yi 	白度儀	c=1 d=0.167797 t=48101
bai du yun 	百度雲	c=7 d=0.168638 t=48101
bai du yun pan 	百度雲盤	c=3 d=1.42832e-47 t=48101
bai jin 	白金	c=2 d=1.00778e-54 t=48101
bai ke quan shuo 	百科全說	c=3 d=7.36323e-47 t=48101
bai ling niao 	百靈鳥	c=5 d=3.68789e-07 t=48101
bai ping 	白屏	c=10 d=3.10677e-06 t=48101
bai ping guo 	白蘋果	c=1 d=3.84591e-53 t=48101
bai tian 	白天	c=2 d=0.00143012 t=48101
bai wan 	百萬	c=1 d=0.680451 t=48101
ban 	坂	c=2 d=3.44983e-78 t=48101
ban 	版	c=37 d=1.05636 t=48101
ban 	班	c=4 d=3.79212e-05 t=48101
ban 	般	c=1 d=3.15272e-09 t=48101
ban 	辦	c=1 d=2.78994e-12 t=48101
ban ben 	版本	c=21 d=1.54259 t=48101
ban ben hao 	版本號	c=2 d=0.358796 t=48101
ban fa 	辦法	c=4 d=3.2577e-12 t=48101
ban ji 	班級	c=1 d=4.62338e-72 t=48101
ban jia 	半價	c=28 d=0.065106 t=48101
ban nian 	半年	c=9 d=3.57838e-09 t=48101
ban nian nei 	半年內	c=1 d=1.63143e-23 t=48101
ban qiu 	半球	c=1 d=1.67291e-83 t=48101
ban quan 	版權	c=2 d=1.32432 t=48101
ban quan fei 	版權費	c=1 d=0.66034 t=48101
ban shen 	半身	c=2 d=1.956 t=47970
ban tian 	半天	c=1 d=1.38757e-30 t=48101
ban xiao shi 	半小時	c=1 d=1.8914e-86 t=48101
ban zou le 	搬走了	c=1 d=1 t=46506
bang 	幫	c=2 d=4.49073e-10 t=48101
bang 	邦	c=1 d=5.45668e-51 t=48101
bang bang 	棒棒	c=5 d=5.64546e-10 t=48101
bang bang de 	棒棒的	c=8 d=7.14106e-10 t=48101
bang ding 	綁定	c=42 d=0.324388 t=48101
bang mang 	幫忙	c=5 d=1.39168e-06 t=48101
bang ni 	幫你	c=2 d=6.72262e-35 t=48101
bang nin 	幫您	c=1 d=3.44131e-10 t=48101
bang ta 	幫他	c=1 d=0.000430743 t=48101
bang wo 	幫我	c=3 d=6.94073e-09 t=48101
bang zhu 	幫助	c=11 d=0.000435765 t=48101
bao 	包	c=10 d=4.14924e-05 t=48101
bao 	報	c=2 d=0.000103597 t=48101
bao 	寶	c=3 d=4.91895e-07 t=48101
bao 	爆	c=2 d=7.80736e-81 t=48101
bao 	薄	c=1 d=1.02703e-49 t=48101
bao ban 	报班	c=1 d=8.65317e-05 t=48101
bao bao 	寶寶	c=2 d=1.78417e-41 t=48101
bao bei 	寶貝	c=12 d=0.00120065 t=48101
bao cun 	保存	c=6 d=0.132655 t=48101
bao cuo 	報錯	c=24 d=0.0208584 t=48101
bao cuo le 	報錯了	c=2 d=1.68211e-42 t=48101
bao feng yu 	暴風雨	c=1 d=4.79801e-67 t=48101
bao gao 	報告	c=1 d=0.955997 t=48101
bao gong tou 	包工頭	c=1 d=2.7487e-72 t=48101
bao guang 	曝光	c=2 d=3.86444e-63 t=48101
bao guo 	包裹	c=2 d=2.88913e-70 t=48101
bao han 	包含	c=7 d=0.377794 t=48101
bao hao 	保號	c=1 d=6.55797e-08 t=48101
bao hu 	保護	c=1 d=3.33949e-39 t=48101
bao jia 	報價	c=1 d=1.90515e-83 t=48101
bao jian pin 	保健品	c=1 d=1 t=46390
bao jing 	報警	c=9 d=1.14171e-57 t=48101
bao kuo 	包括	c=6 d=7.01724e-15 t=48101
bao le 	報了	c=1 d=4.00014e-45 t=48101
bao li 	暴力	c=3 d=1.31153e-14 t=48101
bao liao 	爆料	c=3 d=2.68681e-65 t=48101
bao liu 	保留	c=1 d=7.34399e-75 t=48101
bao lou 	暴露	c=1 d=0.346456 t=48101
bao lu 	暴露	c=3 d=6.50475e-06 t=48101
bao mi 	保密	c=4 d=2.0293e-62 t=48101
bao mi hao 	保密好	c=1 d=2.03947e-61 t=48101
bao ming 	包名	c=1 d=8.58403e-87 t=48101
bao pin 	爆品	c=1 d=1.2548e-82 t=48101
bao qian 	抱歉	c=41 d=0.0446368 t=48101
bao qian ha 	抱歉哈	c=1 d=3.76142e-27 t=48101
bao wei zhan 	保衛戰	c=15 d=0.000340196 t=48101
bao xiu 	保修	c=1 d=1 t=42032
bao xiu qi 	保修期	c=1 d=1.78902e-49 t=48101
bao yan 	保研	c=3 d=1 t=48088
bao you 	包郵	c=11 d=0.00035053 t=48101
bao zeng 	暴增	c=1 d=6.86872e-82 t=48101
bao zha 	爆炸	c=1 d=1.57849e-76 t=48101
bao zheng jin 	保證金	c=1 d=1 t=41955
bao zou 	暴走	c=0 d=1.68949e-53 t=48101
bao zou xiong di 	暴走兄弟	c=1 d=1.69796e-52 t=48101
bei 	倍	c=1 d=2.69619e-51 t=48101
bei 	北	c=6 d=1.06195e-60 t=48101
bei 	唄	c=2 d=6.34988e-11 t=48101
bei 	被	c=113 d=1.70574 t=48101
bei an 	備案	c=6 d=9.24624e-53 t=48101
bei da 	北大	c=15 d=1.05525e-15 t=48101
bei fen 	備份	c=5 d=0.937067 t=48101
bei feng 	被封	c=9 d=7.87406e-42 t=48101
bei guan 	悲觀	c=1 d=5.39027e-54 t=48101
bei hou 	背後	c=1 d=1.16097e-50 t=48101
bei jing 	北京	c=79 d=1.22498 t=48101
bei jing 	背景	c=5 d=2.15796e-11 t=48101
bei jing da xue 	北京大學	c=3 d=3.26558e-11 t=48101
bei jing shi jian 	北京時間	c=1 d=6.76876e-86 t=48101
bei jing tu 	背景圖	c=3 d=2.93124 t=43060
bei ju 	悲劇	c=1 d=1.35515e-46 t=48101
bei ke tou 	貝殼頭	c=1 d=3.34746e-67 t=48101
bei keng 	被坑	c=1 d=4.91947e-67 t=48101
bei li zhi 	被離職	c=1 d=3.15144e-63 t=48101
bei mei 	北美	c=1 d=1 t=46870
bei mian 	背面	c=1 d=2.09758e-68 t=48101
bei ni 	被你	c=1 d=6.08372e-66 t=48101
bei pian 	被騙	c=14 d=4.63629e-46 t=48101
bei pian le 	被騙了	c=1 d=4.0228e-82 t=48101
bei qi pian 	被欺騙	c=1 d=1.53027e-64 t=48101
bei shan 	被刪	c=1 d=2.6455e-63 t=48101
bei shan le 	被刪了	c=1 d=1.61262e-63 t=48101
bei su 	倍速	c=1 d=1 t=47022
bei ta 	被他	c=1 d=3.11203e-62 t=48101
bei ta men 	被他們	c=1 d=8.80461e-62 t=48101
bei tu 	倍圖	c=1 d=7.46411e-60 t=48101
bei wang 	備忘	c=1 d=4.95255e-87 t=48101
bei wang lu 	備忘錄	c=2 d=1.99005 t=46651
bei wo men 	被我們	c=1 d=2.00507e-08 t=48101
bei yong 	備用	c=5 d=3.12334 t=42974
bei you 	備有	c=1 d=1 t=41453
bei you 	北郵	c=1 d=1 t=41454
bei you ren 	北郵人	c=2 d=1.08102e-55 t=48101
bei zhu 	備註	c=8 d=4.02779e-05 t=48101
bei zi 	被子	c=1 d=4.9255e-52 t=48101
ben 	本	c=3 d=0.959181 t=46272
ben 	笨	c=0 d=3.88006e-11 t=48101
ben ci 	本次	c=3 d=0.213312 t=48101
ben di 	本地	c=11 d=1.00102e-12 t=48101
ben ke zheng 	本科證	c=1 d=7.363e-76 t=48101
ben lai 	本來	c=3 d=1.93611e-08 t=48101
ben lai shi 	本來是	c=1 d=2.72366e-82 t=48101
ben qian 	本錢	c=1 d=9.3284e-36 t=48101
ben shang pin 	本商品	c=1 d=1 t=46273
beng kui 	崩潰	c=1 d=1.2357e-78 t=48101
bi 	必	c=1 d=2.40944e-81 t=48101
bi 	比	c=21 d=0.00205478 t=48101
bi bei 	必備	c=1 d=5.31165e-87 t=48101
bi chu 	筆觸	c=1 d=9.96813e-81 t=48101
bi ci bi ci 	彼此彼此	c=1 d=6.33867e-49 t=48101
bi er gai ci 	比爾蓋茨	c=1 d=0.000204488 t=48101
bi huo 	必火	c=1 d=2.22881e-76 t=48101
bi ji 	筆記	c=20 d=5.72121e-12 t=48101
bi jiao 	比較	c=51 d=0.00179097 t=48101
bi jiao hao 	比較好	c=1 d=2.73601e-47 t=48101
bi kai 	避開	c=1 d=1 t=42304
bi li 	比例	c=3 d=0.000176887 t=48101
bi mian 	避免	c=14 d=0.0533387 t=48101
bi ni 	比你	c=2 d=7.63302e-48 t=48101
bi o ba she 	比哦跋涉	c=1 d=1 t=47325
bi po 	逼迫	c=1 d=3.79975e-58 t=48101
bi ren 	鄙人	c=2 d=7.54908e-09 t=48101
bi ru 	比如	c=17 d=0.265803 t=48101
bi sai 	比賽	c=1 d=2.6446e-59 t=48101
bi she 	畢設	c=1 d=3.15027e-88 t=48101
bi shi 	鄙視	c=1 d=1 t=46893
bi shua 	筆刷	c=1 d=1.01695e-80 t=48101
bi wo 	比我	c=3 d=0.000248517 t=48101
bi wo men 	比我們	c=1 d=2.08939e-22 t=48101
bi xin 	比心	c=4 d=3.05219e-10 t=48101
bi xu 	必需	c=4 d=6.06628e-44 t=48101
bi xu 	必須	c=13 d=0.140926 t=48101
bi yao 	必要	c=1 d=3.30784e-74 t=48101
bi ye 	畢業	c=9 d=0.000101863 t=48101
bi ye hou 	畢業後	c=1 d=5.02003e-11 t=48101
bi ye le 	畢業了	c=1 d=6.09966e-38 t=48101
bi ye sheng 	畢業生	c=1 d=1.45941e-65 t=48101
bi zhe 	逼着	c=2 d=7.1573e-58 t=48101
bi zhi 	壁紙	c=10 d=5.36596 t=48101
bian 	便	c=1 d=1.50437e-69 t=48101
bian 	扁	c=1 d=1.55552e-80 t=48101
bian 	變	c=7 d=2.82218e-46 t=48101
bian cheng 	編程	c=17 d=0.00323088 t=48101
bian cheng 	變成	c=1 d=9.3287e-07 t=48101
bian duo le 	變多了	c=1 d=3.06351e-83 t=48101
bian hao 	編號	c=5 d=1.94631e-06 t=48101
bian hong 	變紅	c=1 d=5.66259e-75 t=48101
bian hua 	變化	c=3 d=0.557106 t=48101
bian ji 	編輯	c=9 d=7.82971e-05 t=48101
bian ji qi 	編輯器	c=5 d=4.48627e-12 t=48101
bian jie 	邊界	c=1 d=1.89959e-78 t=48101
bian kuang 	邊框	c=2 d=3.14512e-10 t=48101
bian li 	遍歷	c=2 d=1.00011 t=47806
bian liang 	變亮	c=1 d=2.89415e-61 t=48101
bian liang 	變量	c=3 d=2.87971e-61 t=48101
bian ma 	編碼	c=1 d=1.15872e-86 t=48101
bian se 	變色	c=1 d=3.11362e-68 t=48101
bian shang 	邊上	c=3 d=8.74134e-36 t=48101
bian shen 	變身	c=1 d=4.37759e-47 t=48101
bian sheng 	變聲	c=4 d=2.01267e-46 t=48101
bian wei 	變爲	c=2 d=3.28027e-05 t=48101
bian xie 	編寫	c=4 d=2.57413e-06 t=48101
bian xing 	變形	c=1 d=1.62711e-80 t=48101
bian xing 	變性	c=1 d=4.81632e-53 t=48101
bian yi 	編譯	c=6 d=1.31914e-49 t=48101
bian yu 	便於	c=1 d=9.52788e-79 t=48101
bian zhi 	編制	c=3 d=6.29366e-59 t=48101
bian zhi 	編織	c=1 d=2.28764e-59 t=48101
biao 	標	c=2 d=0.121846 t=48101
biao 	表	c=11 d=0.000107049 t=48101
biao chi 	標尺	c=1 d=9.78937e-74 t=48101
biao da 	表達	c=5 d=2.66573e-35 t=48101
biao dan 	表單	c=1 d=4.82155e-07 t=48101
biao dian 	標點	c=1 d=0.965605 t=48101
biao ge 	表哥	c=3 d=3.45139e-15 t=48101
biao ge 	表格	c=6 d=4.08816e-07 t=48101
biao ji 	標記	c=1 d=6.47202e-88 t=48101
biao jia 	標價	c=1 d=1.12554e-09 t=48101
biao qian 	標籤	c=2 d=3.26047e-23 t=48101
biao qian ye 	標籤頁	c=2 d=2.02727e-18 t=48101
biao qing 	表情	c=1 d=6.91322e-11 t=48101
biao sheng 	飆升	c=3 d=1.69362e-13 t=48101
biao shi 	標識	c=1 d=4.85201e-81 t=48101
biao shi 	表示	c=1 d=1.05762e-12 t=48101
biao shu 	表述	c=1 d=2.16787e-44 t=48101
biao ti 	標題	c=16 d=0.509156 t=48101
biao ti lan 	標題欄	c=4 d=2.92768e-81 t=48101
biao xin li yi 	標新立異	c=1 d=6.64194e-40 t=48101
biao zhu 	標註	c=1 d=4.06046e-74 t=48101
biao zhun 	標準	c=3 d=9.09539e-08 t=48101
biao zhun ban 	標準版	c=1 d=2.55669e-73 t=48101
biao zhun tu 	標準圖	c=1 d=9.69196e-74 t=48101
bie 	別	c=29 d=0.00260589 t=48101
bie ba wo 	別把我	c=1 d=1.74693e-63 t=48101
bie dan xin 	别担心	c=1 d=7.458e-21 t=48101
bie de 	別的	c=1 d=1 t=43678
bie dian 	別點	c=2 d=1.20583e-19 t=48101
bie dian ji 	別點擊	c=1 d=5.15149e-21 t=48101
bie fa 	別發	c=1 d=2.39546e-42 t=48101
bie fa le 	別發了	c=2 d=1.11064e-58 t=48101
bie ji 	別急	c=1 d=2.22971e-22 t=48101
bie jin zhang 	別緊張	c=1 d=1.55747e-36 t=48101
bie lai 	別來	c=1 d=1.05013e-46 t=48101
bie mai 	別買	c=1 d=2.57667e-47 t=48101
bie ming 	別名	c=8 d=0.000148719 t=48101
bie ren 	別人	c=9 d=2.43387e-12 t=48101
bie shen 	別審	c=1 d=4.87799e-85 t=48101
bie shuo 	別說	c=1 d=6.79112e-66 t=48101
bie yong 	別用	c=2 d=1.21751e-36 t=48101
bie zhao ji 	別着急	c=3 d=1.00899e-17 t=48101
bin 	彬	c=1 d=2.65732e-86 t=48101
bin ge 	彬哥	c=4 d=3.0362e-63 t=48101
bin jiang 	濱江	c=1 d=1.85306e-51 t=48101
bing 	並	c=79 d=0.776084 t=48101
bing 	兵	c=1 d=9.25978e-08 t=48101
bing 	冰	c=0 d=0.1 t=46171
bing bu 	並不	c=1 d=4.1938e-13 t=48101
bing bu shi 	並不是	c=1 d=7.45039e-09 t=48101
bing du 	病毒	c=12 d=2.26792e-05 t=48101
bing fei 	並非	c=1 d=6.74139e-09 t=48101
bing mei you 	並沒有	c=1 d=2.23282e-09 t=48101
bing qi lin 	冰淇淋	c=0 d=3.5747e-76 t=48101
bing qie 	並且	c=22 d=0.00126221 t=48101
bing ren 	兵人	c=2 d=1.99005 t=41160
bing ren 	病人	c=1 d=0.000335463 t=48101
bing wei 	併爲	c=1 d=9.90724e-09 t=48101
bing xing 	並行	c=1 d=6.27881e-55 t=48101
bo da jing shen 	博大精深	c=1 d=3.66832e-85 t=48101
bo fang 	播放	c=4 d=1.01246e-28 t=48101
bo fang liang 	播放量	c=1 d=1.08042e-57 t=48101
bo hui 	駁回	c=1 d=4.23378e-07 t=48101
bo ke 	博客	c=3 d=1.75276e-43 t=48101
bo li 	玻璃	c=1 d=1.88562e-50 t=48101
bo luan wei zhi 	撥亂爲治	c=1 d=5.65778e-65 t=48101
bo luo bo luo mi 	菠蘿菠蘿蜜	c=1 d=1.08946e-08 t=48101
bo mu 	伯母	c=3 d=1.25033e-40 t=48101
bo shi 	博士	c=1 d=1 t=45023
bo xie 	波鞋	c=0 d=1.05737e-69 t=48101
bo zi 	脖子	c=1 d=9.13532e-84 t=48101
bu 	不	c=60 d=0.0322218 t=48101
bu 	步	c=3 d=0.00577048 t=48101
bu 	補	c=4 d=1.00004 t=47231
bu 	部	c=1 d=1.11143e-37 t=48101
bu an 	不按	c=1 d=1 t=47383
bu an quan 	不安全	c=1 d=0.822835 t=48101
bu bao you 	不包郵	c=1 d=5.50852e-74 t=48101
bu bei 	不被	c=2 d=5.64235e-62 t=48101
bu bi 	不必	c=2 d=1.21168e-53 t=48101
bu can jia 	不參加	c=1 d=2.51263e-45 t=48101
bu cha 	不差	c=1 d=6.59154e-68 t=48101
bu chang 	不長	c=1 d=8.19567e-13 t=48101
bu chao guo 	不超過	c=1 d=1.34839e-46 t=48101
bu cheng gong 	不成功	c=10 d=0.0020396 t=48101
bu chong 	補充	c=11 d=0.425283 t=48101
bu chong tu 	不衝突	c=4 d=0.00494193 t=48101
bu chu lai 	不出來	c=1 d=1.40251e-09 t=48101
bu chu qu 	不出去	c=1 d=6.21951e-61 t=48101
bu ci ji 	不刺激	c=1 d=1.21379e-44 t=48101
bu cun zai 	不存在	c=5 d=2.41997e-05 t=48101
bu cuo 	不錯	c=11 d=0.0407622 t=48101
bu da 	不大	c=2 d=0.000163804 t=48101
bu da suan 	不打算	c=3 d=5.48998e-05 t=48101
bu dai 	不帶	c=0 d=1.23873e-49 t=48101
bu dai tao 	不帶套	c=1 d=1.24494e-48 t=48101
bu dan dan 	不單單	c=1 d=6.02255e-06 t=48101
bu dao 	不到	c=2 d=1 t=47989
bu de 	不得	c=1 d=1.72655e-72 t=48101
bu de er zhi 	不得而知	c=1 d=2.23458e-77 t=48101
bu de ren xin 	不得人心	c=1 d=7.46792e-66 t=48101
bu deng 	不等	c=2 d=1.19889 t=44132
bu dong 	不懂	c=14 d=0.00134011 t=48101
bu dou shi 	不都是	c=1 d=1.33334e-61 t=48101
bu duan 	不斷	c=4 d=6.84101e-08 t=48101
bu dui 	不對	c=3 d=5.87666e-41 t=48101
bu dui 	部隊	c=4 d=5.84735e-41 t=48101
bu dui jin 	不對勁	c=1 d=5.31635e-68 t=48101
bu duo 	不多	c=3 d=3.778e-46 t=48101
bu en 	不嗯	c=1 d=1.92836e-49 t=48101
bu fa 	不發	c=13 d=5.18073e-58 t=48101
bu fa 	補發	c=5 d=0.025223 t=48101
bu fan 	不煩	c=2 d=6.00905e-10 t=48101
bu fan ren 	不煩人	c=1 d=1 t=44316
bu fang bian 	不方便	c=2 d=2.23503e-50 t=48101
bu fang xin 	不放心	c=1 d=1.26375e-48 t=48101
bu fen 	部分	c=6 d=1.65271e-12 t=48101
bu gan 	不敢	c=2 d=2.01225e-50 t=48101
bu gan xiang xin 	不敢相信	c=1 d=4.10699e-61 t=48101
bu gao 	不搞	c=1 d=7.55068e-78 t=48101
bu gao 	不高	c=1 d=1.84282e-74 t=48101
bu gei 	不給	c=4 d=3.70593e-58 t=48101
bu gou 	不夠	c=1 d=2.45693e-46 t=48101
bu gou hao 	不夠好	c=1 d=1.00944e-81 t=48101
bu gou yong 	不夠用	c=1 d=4.93252e-10 t=48101
bu guan 	不管	c=4 d=0.00027603 t=48101
bu guan shi 	不管是	c=2 d=9.83143e-58 t=48101
bu gui 	不貴	c=1 d=1.50155e-47 t=48101
bu gui fan 	不規範	c=1 d=1.11177e-70 t=48101
bu guo 	不過	c=30 d=1.06605e-06 t=48101
bu guo lai 	不過來	c=2 d=1.68462e-83 t=48101
bu guo yin 	不過癮	c=1 d=1.76233e-78 t=48101
bu hao 	不好	c=8 d=0.00110822 t=48101
bu hao gao 	不好搞	c=1 d=5.02414e-50 t=48101
bu hao kan 	不好看	c=2 d=1.18956e-78 t=48101
bu hao nong 	不好弄	c=1 d=5.657e-34 t=48101
bu hao shui 	不好睡	c=1 d=5.96122e-62 t=48101
bu hao shuo 	不好說	c=1 d=1 t=45250
bu hao te er en 	不好特爾嗯	c=1 d=6.82632e-68 t=48101
bu hao yi si 	不好意思	c=5 d=2.9183e-10 t=48101
bu he shi 	不合適	c=1 d=2.53831e-47 t=48101
bu hui 	不會	c=25 d=0.0569831 t=48101
bu hui da 	不回答	c=1 d=2.41822e-65 t=48101
bu hui da 	不會打	c=1 d=8.38947e-82 t=48101
bu hui de 	不會的	c=2 d=7.96836e-35 t=48101
bu hui fu 	不回復	c=1 d=0.121238 t=48101
bu hui lai 	不回來	c=2 d=0.0234005 t=48101
bu jia 	不假	c=1 d=3.13136e-76 t=48101
bu jia 	不加	c=1 d=6.44256e-06 t=48101
bu jian 	不見	c=1 d=3.85574e-83 t=48101
bu jian le 	不見了	c=2 d=6.43249e-16 t=48101
bu jian rong 	不兼容	c=3 d=0.960789 t=48101
bu jian yi 	不建議	c=1 d=4.15604e-83 t=48101
bu jin 	不僅	c=3 d=6.14421e-06 t=48101
bu jiu 	不久	c=3 d=2.87064e-48 t=48101
bu ju 	佈局	c=8 d=6.17501e-06 t=48101
bu ju jue 	不拒絕	c=1 d=1.83176e-62 t=48101
bu ju tu 	佈局圖	c=1 d=4.33463e-78 t=48101
bu ka 	不卡	c=1 d=4.96115e-78 t=48101
bu kao pu 	不靠譜	c=1 d=5.70183e-68 t=48101
bu ke 	不可	c=9 d=0.247339 t=48101
bu ke huo 	不可活	c=1 d=6.19817e-50 t=48101
bu ke qi 	不客氣	c=12 d=0.0116353 t=48101
bu ke yi 	不可以	c=9 d=2.29351e-08 t=48101
bu ke yong 	不可用	c=11 d=0.653269 t=48101
bu lai 	不來	c=0 d=1.09295e-76 t=48101
bu le 	不了	c=7 d=0.704688 t=48101
bu le 	補了	c=1 d=4.19709e-81 t=48101
bu lei 	不累	c=1 d=2.12675e-54 t=48101
bu lei ba 	不累吧	c=1 d=2.48924e-82 t=48101
bu liang 	不亮	c=2 d=1.56097 t=48101
bu liang le 	不亮了	c=1 d=0.722527 t=48101
bu liao 	不了	c=1 d=1.12008e-40 t=48101
bu liao jie 	不瞭解	c=2 d=3.42753e-51 t=48101
bu liu yi 	不留意	c=1 d=8.83398e-13 t=48101
bu lu 	不露	c=0 d=3.43512e-78 t=48101
bu lu lian 	不露臉	c=1 d=3.45234e-77 t=48101
bu luan 	不亂	c=1 d=2.28655e-24 t=48101
bu ma fan 	不麻煩	c=2 d=3.10949e-23 t=48101
bu man 	不慢	c=1 d=2.05402e-27 t=48101
bu men 	部門	c=1 d=9.5561e-55 t=48101
bu ming bai 	不明白	c=1 d=5.70492e-45 t=48101
bu mo hu 	不模糊	c=1 d=1.72626e-70 t=48101
bu nan 	不難	c=2 d=1.69651e-42 t=48101
bu neng 	不能	c=47 d=0.555091 t=48101
bu pa 	不怕	c=1 d=1.98061e-40 t=48101
bu qi zuo yong 	不起作用	c=2 d=2.19831e-61 t=48101
bu qing bu chu 	不清不楚	c=1 d=1.57254e-61 t=48101
bu qu fen 	不區分	c=1 d=1 t=46164
bu quan 	不全	c=1 d=2.95261e-61 t=48101
bu quan 	補全	c=3 d=8.15454e-05 t=48101
bu que 	不缺	c=1 d=3.64319e-63 t=48101
bu ran 	不然	c=13 d=2.78772e-06 t=48101
bu ren zhen 	不認真	c=1 d=3.36138e-57 t=48101
bu rong xu 	不容許	c=1 d=2.27429e-49 t=48101
bu rong yi 	不容易	c=2 d=1.70705e-56 t=48101
bu shan chang 	不擅長	c=1 d=2.24112e-82 t=48101
